session	timestamp	item
M445765107	1609639200.0	남성의류
M425700873	1610154000.0	남성의류
M425700873	1610154000.0	남성의류
M425700873	1610154000.0	남성의류
M683030162	1612670400.0	남성의류
M248673068	1613289600.0	남성의류
M249768602	1613790000.0	남성의류
M211714914	1613804400.0	남성의류
M884264010	1614333600.0	남성의류
M508987880	1614744000.0	남성의류
M849880347	1615010400.0	남성의류
M249768602	1615010400.0	남성의류
M257182490	1615089600.0	남성의류
M318501345	1615096800.0	남성의류
M318501345	1615096800.0	남성의류
M198892835	1615258800.0	남성의류
M214908869	1615431600.0	남성의류
M533480262	1615449600.0	남성의류
M533480262	1615449600.0	남성의류
M610399864	1616554800.0	남성의류
M069005765	1617361200.0	남성의류
M185591499	1617422400.0	남성의류
M185591499	1617714000.0	남성의류
M257182490	1617868800.0	남성의류
M257182490	1617868800.0	남성의류
M614062136	1618203600.0	남성의류
M225880230	1620032400.0	남성의류
M505074154	1620194400.0	남성의류
M505074154	1620194400.0	남성의류
M505074154	1620194400.0	남성의류
M614618426	1620381600.0	남성의류
M069005765	1620529200.0	남성의류
M203904873	1621058400.0	남성의류
M203904873	1621058400.0	남성의류
M046057112	1621155600.0	남성의류
M895923147	1621749600.0	남성의류
M294064972	1621767600.0	남성의류
M603803087	1623560400.0	남성의류
M868726782	1624154400.0	남성의류
M617570725	1624417200.0	남성의류
M617570725	1624417200.0	남성의류
M617570725	1624417200.0	남성의류
M827703438	1624770000.0	남성의류
M394754530	1625990400.0	남성의류
M387550404	1626328800.0	남성의류
M356482563	1627696800.0	남성의류
M951929550	1627786800.0	남성의류
M113212901	1628323200.0	남성의류
M113212901	1628323200.0	남성의류
M741253545	1630148400.0	남성의류
M015605443	1630576800.0	남성의류
M326557740	1630825200.0	남성의류
M326557740	1630825200.0	남성의류
M326557740	1630825200.0	남성의류
M460673604	1631613600.0	남성의류
M397374636	1631682000.0	남성의류
M397374636	1631682000.0	남성의류
M520967057	1632553200.0	남성의류
M520967057	1632553200.0	남성의류
M520967057	1632553200.0	남성의류
M520967057	1632556800.0	남성의류
M973813624	1633053600.0	남성의류
M586542060	1633075200.0	남성의류
M973813624	1633240800.0	남성의류
M510922775	1633676400.0	남성의류
M397374636	1634274000.0	남성의류
M397374636	1634274000.0	남성의류
